Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,131.899994,132.940002,130.139999,130.309998,128.733139,43727500
2020-05-01,127.150002,127.459999,123.290001,125.139999,123.625679,43352000
2020-05-04,123.599998,125.900002,122.250000,125.680000,124.159157,28498200
2020-05-05,128.070007,129.919998,126.099998,126.650002,125.117416,31209400
2020-05-06,127.489998,128.199997,125.000000,125.720001,124.198669,29836800
2020-05-07,127.389999,128.500000,126.550003,127.440002,125.897858,27493000
2020-05-08,130.160004,132.750000,129.190002,132.360001,130.758331,32162000
2020-05-11,130.410004,132.949997,129.330002,131.699997,130.106308,33983200
2020-05-12,132.259995,132.289993,126.839996,126.970001,125.433540,44275300
2020-05-13,125.650002,126.080002,120.410004,122.720001,121.234970,58719300
2020-05-14,119.970001,123.269997,117.180000,123.120003,121.630135,55904300
2020-05-15,122.010002,125.529999,121.459999,125.080002,123.566422,40236600
2020-05-18,131.449997,133.389999,130.830002,132.679993,131.074432,47075400
2020-05-19,132.220001,133.449997,130.059998,130.059998,128.486160,30270000
2020-05-20,132.729996,134.979996,132.380005,134.000000,132.378464,35901300
2020-05-21,134.050003,135.059998,132.580002,134.240005,132.615585,32716500
2020-05-22,134.669998,135.050003,133.020004,134.889999,133.257706,24035200
2020-05-26,140.089996,140.380005,134.990005,138.779999,137.100632,36971000
2020-05-27,141.570007,143.500000,137.330002,143.089996,141.358475,42682000
2020-05-28,144.740005,144.740005,137.580002,139.699997,138.009476,42105000
2020-05-29,138.300003,139.279999,136.410004,138.899994,137.219162,41628800
2020-06-01,139.259995,141.669998,138.610001,140.229996,138.533081,25567500
2020-06-02,141.070007,141.850006,139.559998,141.389999,139.679047,24666200
2020-06-03,143.669998,146.070007,143.110001,144.800003,143.047775,36111700
2020-06-04,143.839996,145.600006,143.179993,144.589996,142.840332,28904700
2020-06-05,150.860001,152.320007,149.550003,150.179993,148.362671,53513400
2020-06-08,152.350006,153.389999,151.630005,153.089996,151.237457,33834300
2020-06-09,150.860001,151.770004,149.059998,150.259995,148.441711,39646000
2020-06-10,150.089996,150.259995,145.899994,146.179993,144.411072,51774500
2020-06-11,140.149994,141.029999,134.770004,135.029999,133.396011,72041500
